participant_id,session_id,repetition_id,label,ax_mean,ax_std,ax_min,ax_max,ax_range,ax_rms,ay_mean,ay_std,ay_min,ay_max,ay_range,ay_rms,az_mean,az_std,az_min,az_max,az_range,az_rms,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_rms,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_rms,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_rms
irvan,S1,irvan_seg6,idle,0.4979933333333334,0.03660958283777016,0.4379,0.5544,0.11649999999999999,0.49933718227266033,0.02346266666666667,0.005954735333235969,0.0025,0.033,0.030500000000000003,0.024206519782901465,-0.10403266666666666,0.19149639874652705,-0.4502,0.1911,0.6413,0.21793041657067208,-6.263191333333334,43.496253397024034,-220.8396,27.054,247.8936,43.94487029513304,34.95639466666667,84.02563268625734,-77.647,244.744,322.391,91.00690345472479,25.99373866666667,53.511321581278835,-114.4695,170.6412,285.1107,59.49063781172631
irvan,S1,irvan_seg6,idle,0.44093200000000005,0.028716221478460566,0.398,0.4984,0.10039999999999999,0.4418660996274777,0.03232333333333333,0.004892394324073053,0.0233,0.04,0.0167,0.03269148818882371,0.17810000000000004,0.13599907695765193,-0.084,0.3839,0.46790000000000004,0.22408783753995515,7.45457,1.5897494359699162,4.8841,10.1012,5.2171,7.62219897103629,1.0774746666666666,1.5348044613863863,-1.2636,11.2706,12.5342,1.8752536873713914,2.2459133333333337,3.6476205793122483,-5.7626,11.5162,17.2788,4.283603925605946
irvan,S1,irvan_seg6,idle,0.399384,0.019652694743130437,0.3688,0.4373,0.0685,0.39986723780108147,0.03946066666666667,0.003586714311951198,0.033,0.045,0.011999999999999997,0.03962333571688953,0.3744786666666667,0.092280210653326,0.1942,0.5133,0.31909999999999994,0.3856810976268693,6.346708,1.2655371245190714,4.8841,10.1012,5.2171,6.471652544041591,0.9856820000000001,0.6695026647763747,-1.2636,1.5884,2.8520000000000003,1.1915547923896184,0.53642,2.862990631839371,-1.0557,11.5162,12.5719,2.9128099447784095
ramzy,S1,ramzy_seg7,idle,0.8142946666666666,0.016166598432845694,0.7866,0.8429,0.05630000000000002,0.8144551326295799,0.0030673333333333334,0.0014569143954109164,-0.0004,0.0056,0.006,0.0033957522485206916,-0.07339333333333332,0.08012074609959367,-0.2115,0.0645,0.276,0.10865502902918638,8.615787333333333,5.097247078561742,3.0981,17.2649,14.1668,10.010680254265107,-0.60649,6.654078687198802,-10.9777,9.5352,20.512900000000002,6.681660968317185,7.411763333333333,13.49801596331064,-4.3926,41.1474,45.54,15.39904771910047
ramzy,S1,ramzy_seg7,idle,0.78647,0.015976047696473615,0.7598,0.8139,0.054099999999999926,0.7866322488939798,0.005299333333333334,0.0011654753917989384,0.003,0.0071,0.0041,0.005425980710126665,0.06350533333333333,0.07790020007391223,-0.0726,0.1931,0.2657,0.1005055646883959,4.693745333333334,0.774063859173274,3.0981,6.3625,3.2643999999999997,4.7571441130437355,4.435981333333332,2.63382823164019,-1.1512,9.5352,10.686399999999999,5.1589709771878605,-1.5326053333333332,1.0043030671921476,-4.3926,-0.2732,4.1194,1.8323492457862212
ramzy,S1,ramzy_seg7,idle,0.7604006666666667,0.014150243798449398,0.7379,0.7863,0.0484,0.7605323157280476,0.007079999999999999,0.0008977750274985376,0.0056,0.0086,0.003,0.007136693912449938,0.18999533333333332,0.06801564362866988,0.0663,0.2991,0.23279999999999998,0.2018027612959413,6.013106666666666,1.0042988253613674,4.4838,7.4272,2.9434000000000005,6.0963979459458955,2.1199060000000003,1.7067742332728133,-0.0089,5.9928,6.0017,2.7215950713138795,-0.13736466666666672,0.8292360562298021,-1.7166,1.1156,2.8322,0.8405364290737196
rizki,S1,rizki_seg8,idle,0.7171073333333333,0.044928245157015524,0.6466,0.7997,0.1531,0.7185133782563365,0.010557333333333333,0.0011408971128994158,0.0076,0.0122,0.004600000000000001,0.010618800936703416,0.1611093333333333,0.07141888484769898,0.0358,0.2805,0.24470000000000003,0.17622960704717014,12.209184000000002,8.623433049067176,6.6835,43.618,36.9345,14.94750051003846,-3.890155333333334,10.380309328419436,-30.3989,39.8607,70.2596,11.085311464777764,13.098149333333334,25.553270402424673,-28.0615,98.9148,126.9763,28.714650341206198
rizki,S1,rizki_seg8,idle,0.6485206666666666,0.034620880590893244,0.5934,0.713,0.11959999999999993,0.6494441165078536,0.012084666666666665,0.0007690458735053168,0.0105,0.0132,0.0026999999999999993,0.012109112271343427,0.27864,0.06425352701084458,0.1636,0.3839,0.22030000000000002,0.28595238298243525,7.070439333333334,0.735753842431617,6.3758,9.9714,3.5955999999999992,7.108617733638518,1.0950093333333335,0.7797695904429434,-1.5633,1.603,3.1662999999999997,1.3442790090850436,3.0712093333333335,2.578011671666019,0.2924,9.8861,9.5937,4.009796871214301
rizki,S1,rizki_seg8,idle,0.6008119999999999,0.02118857214003184,0.5749,0.6458,0.07090000000000007,0.6011855079202536,0.013680000000000003,0.001386602562620835,0.0122,0.0176,0.0054,0.013750093333016569,0.3811666666666667,0.05390641602711953,0.282,0.4544,0.17240000000000005,0.38495964654320153,9.471738666666667,7.565693477241299,5.7496,35.3366,29.586999999999996,12.12243998381514,-22.588521333333336,47.67811384814013,-142.1165,1.603,143.7195,52.75835323569781,0.32104533333333335,4.047353646875724,-12.7973,7.4777,20.275,4.060066704985688
rizki,S1,rizki_seg8,idle,0.5880913333333333,0.007757052160596976,0.5749,0.6024,0.02750000000000008,0.5881424897080639,0.018004,0.004300091161824364,0.0132,0.0278,0.014599999999999998,0.018510397078398938,0.4459126666666666,0.024792072110970384,0.3852,0.4789,0.0937,0.4466013357943898,8.559891333333333,14.340867305357033,-21.6745,35.3366,57.0111,16.701263865598115,-8.365554,63.081119791316986,-142.1165,95.6073,237.72379999999998,63.63340449680026,-3.3990666666666662,8.45504127567821,-17.9854,21.6272,39.6126,9.112704163850962
